L_M5_um,Cm_f,freq_kHz,Vm_min,Vm_max,estado
25u,75f,1093.4,-0.406,1.935,ANOMALO
25u,100f,1112.8,-0.010,1.771,OK
25u,125f,1154.9,0.255,1.671,OK
25u,150f,1280.2,0.435,1.608,OK
25u,200f,1290.8,0.658,1.520,OK
35u,75f,792.2,-0.638,2.260,ANOMALO
35u,100f,827.8,-0.276,2.048,ANOMALO
35u,125f,904.2,0.153,1.894,OK
35u,150f,863.1,0.338,1.791,OK
35u,200f,890.1,0.627,1.648,OK
50u,75f,599.0,-0.776,2.890,ANOMALO
50u,100f,523.8,-0.638,2.488,ANOMALO
50u,125f,538.3,-0.395,2.255,ANOMALO
50u,150f,545.3,-0.050,2.088,OK
50u,200f,554.5,0.319,1.882,OK
