Vin,Iex_nA,Cm_f,freq_kHz,Vm_min,Vm_max,fuera_rieles_V,estado
1.5,193.5,50,1488.3,-0.810,3.478,0.988,ANOMALO
1.5,193.9,75,1115.8,-0.772,2.892,0.772,ANOMALO
1.5,194.1,100,1003.5,-0.619,2.501,0.619,ANOMALO
1.5,194.0,125,1027.0,-0.374,2.258,0.374,ANOMALO
1.5,194.0,150,1022.2,-0.031,2.091,0.031,OK
1.5,194.0,200,1033.0,0.327,1.888,0.000,OK
1.8,100.4,50,831.9,-0.809,3.555,1.064,ANOMALO
1.8,100.5,75,599.0,-0.776,2.890,0.776,ANOMALO
1.8,100.5,100,523.8,-0.638,2.488,0.638,ANOMALO
1.8,100.5,125,538.3,-0.395,2.255,0.395,ANOMALO
1.8,100.5,150,545.3,-0.050,2.088,0.050,OK
1.8,100.5,200,554.5,0.319,1.882,0.000,OK
2.1,37.6,50,334.8,-0.810,3.568,1.078,ANOMALO
2.1,37.5,75,238.9,-0.769,2.873,0.769,ANOMALO
2.1,37.5,100,210.0,-0.640,2.487,0.640,ANOMALO
2.1,37.5,125,200.3,-0.294,2.232,0.294,ANOMALO
2.1,37.5,150,207.6,-0.013,2.083,0.013,OK
2.1,37.5,200,218.7,0.306,1.880,0.000,OK
2.3,12.5,50,121.2,-0.808,3.548,1.057,ANOMALO
2.3,12.5,75,85.5,-0.739,2.863,0.739,ANOMALO
2.3,12.5,100,70.3,-0.653,2.446,0.653,ANOMALO
2.3,12.5,125,66.2,-0.258,2.238,0.258,ANOMALO
2.3,12.5,150,66.2,0.007,2.078,0.000,OK
2.3,12.5,200,75.7,0.342,1.877,0.000,OK
