W_M5,L_M5,Cm_f,Vm_min,estado
0.5,25u,100f,0.804,OK
0.5,25u,150f,0.993,OK
0.5,25u,200f,1.075,OK
0.5,25u,300f,1.145,OK
0.5,25u,400f,1.188,OK
0.5,50u,100f,0.538,OK
0.5,50u,150f,0.781,OK
0.5,50u,200f,0.861,OK
0.5,50u,300f,1.011,OK
0.5,50u,400f,1.089,OK
1.25,50u,100f,-0.638,ANOMALO
1.25,50u,150f,-0.050,OK
1.25,50u,200f,0.319,OK
1.25,50u,300f,0.613,OK
1.25,50u,400f,0.775,OK
1.75,33u,100f,-0.651,ANOMALO
1.75,33u,150f,-0.125,ANOMALO
1.75,33u,200f,0.267,OK
1.75,33u,300f,0.543,OK
1.75,33u,400f,0.725,OK
1.75,41u,100f,-0.788,ANOMALO
1.75,41u,150f,-0.641,ANOMALO
1.75,41u,200f,-0.248,ANOMALO
1.75,41u,300f,0.286,OK
1.75,41u,400f,0.551,OK
2.5,25u,100f,-0.608,ANOMALO
2.5,25u,150f,-0.253,ANOMALO
2.5,25u,200f,0.142,OK
2.5,25u,300f,0.552,OK
2.5,25u,400f,0.731,OK
