W_M5,L_M5,Cm_f,Cm_min_pred,Iex_nA,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
0.5,25,54,42,100.5,2631.9,1.47,262,1.753,0.570,1.183,OK
0.5,25,75,42,100.5,2629.2,1.85,261,1.624,0.764,0.860,OK
0.5,25,109,42,100.5,2516.8,0.59,250,1.518,0.929,0.589,OK
0.5,25,168,42,100.5,2523.3,0.26,251,1.436,1.053,0.382,OK
0.5,41,76,59,100.5,1584.8,0.46,157,1.885,0.486,1.399,OK
0.5,41,106,59,100.5,1584.3,0.45,157,1.718,0.711,1.007,OK
0.5,41,153,59,100.5,1598.2,0.29,158,1.587,0.890,0.697,OK
0.5,41,236,59,100.5,1633.0,0.08,162,1.482,1.033,0.449,OK
1.0,25,111,86,100.5,1196.8,0.97,118,1.660,0.541,1.119,OK
1.0,25,154,86,100.5,1181.7,0.58,117,1.554,0.740,0.814,OK
1.0,25,223,86,100.5,1170.4,0.32,115,1.469,0.905,0.564,OK
1.0,25,344,86,100.5,1166.7,0.14,115,1.401,1.037,0.364,OK
1.0,41,157,121,100.5,763.1,0.16,75,1.790,0.469,1.322,OK
1.0,41,217,121,100.5,761.8,0.09,75,1.650,0.691,0.959,OK
1.0,41,314,121,100.5,763.8,0.03,75,1.537,0.875,0.663,OK
1.0,41,484,121,100.5,772.1,0.04,76,1.448,1.020,0.427,OK
1.75,25,198,153,100.5,654.5,0.40,64,1.585,0.520,1.065,OK
1.75,25,275,153,100.5,646.3,0.26,63,1.498,0.726,0.772,OK
1.75,25,397,153,100.5,641.7,0.12,63,1.429,0.894,0.535,OK
1.75,25,612,153,100.5,645.8,0.04,63,1.374,1.032,0.342,OK
1.75,41,280,216,100.5,414.2,0.06,40,1.707,0.434,1.273,OK
1.75,41,388,216,100.5,411.6,0.02,40,1.588,0.665,0.923,OK
1.75,41,561,216,100.5,410.3,0.01,39,1.492,0.853,0.639,OK
1.75,41,864,216,100.5,411.5,0.01,40,1.417,1.004,0.412,OK
2.5,25,287,221,100.5,463.6,0.23,45,1.538,0.538,1.000,OK
2.5,25,397,221,100.5,459.9,0.15,44,1.465,0.739,0.725,OK
2.5,25,574,221,100.5,460.3,0.06,44,1.405,0.907,0.498,OK
2.5,25,884,221,100.5,473.1,0.02,46,1.357,1.045,0.312,OK
2.5,41,405,312,100.5,283.7,0.03,27,1.652,0.422,1.230,OK
2.5,41,561,312,100.5,281.4,0.02,27,1.547,0.655,0.892,OK
2.5,41,811,312,100.5,280.1,0.01,26,1.463,0.846,0.617,OK
2.5,41,1248,312,100.5,281.1,0.01,27,1.397,0.999,0.397,OK
