W_M5,L_M5,Cm_f,Cm_min_pred,Iex_nA,freq_kHz,Vth_V,Vm_min,estado
0.5,25,54,42,100.5,2860.5,1.767,0.352,OK
0.5,25,75,42,100.5,2862.2,1.633,0.635,OK
0.5,25,109,42,100.5,3021.2,1.520,0.852,OK
0.5,25,168,42,100.5,3085.0,1.437,1.023,OK
0.5,41,76,59,100.5,1620.3,1.890,0.477,OK
0.5,41,106,59,100.5,1658.5,1.717,0.497,OK
0.5,41,153,59,100.5,1827.0,1.589,0.828,OK
0.5,41,236,59,100.5,1846.8,1.485,0.985,OK
1.0,25,111,86,100.5,1502.9,1.661,0.354,OK
1.0,25,154,86,100.5,1538.6,1.555,0.629,OK
1.0,25,223,86,100.5,1658.8,1.468,0.854,OK
1.0,25,344,86,100.5,1775.6,1.398,1.008,OK
1.0,41,157,121,100.5,982.5,1.793,0.210,OK
1.0,41,217,121,100.5,984.7,1.651,0.685,OK
1.0,41,314,121,100.5,974.0,1.538,0.784,OK
1.0,41,484,121,100.5,1079.2,1.448,0.965,OK
1.75,25,198,153,100.5,899.6,1.578,0.468,OK
1.75,25,275,153,100.5,1051.4,1.491,0.718,OK
1.75,25,397,153,100.5,1196.9,1.425,0.897,OK
1.75,25,612,153,100.5,1611.2,1.364,1.035,OK
1.75,41,280,216,100.5,416.1,1.704,0.205,OK
1.75,41,388,216,100.5,504.9,1.586,0.527,OK
1.75,41,561,216,100.5,582.6,1.487,0.783,OK
1.75,41,864,216,100.5,543.1,1.414,0.962,OK
2.5,25,287,221,100.5,772.0,1.524,0.508,OK
2.5,25,397,221,100.5,829.0,1.457,0.722,OK
2.5,25,574,221,100.5,1109.8,1.395,0.909,OK
2.5,25,884,221,100.5,1385.2,1.342,1.069,OK
2.5,41,405,312,100.5,283.8,1.643,0.241,OK
2.5,41,561,312,100.5,300.4,1.541,0.613,OK
2.5,41,811,312,100.5,312.0,1.451,0.807,OK
2.5,41,1248,312,100.5,292.6,1.388,0.995,OK
