W_M7M8,C_load_f,freq_kHz,jitter_pct,tr_ns,tf_ns,vhigh,vlow,swing_out,estado
0.22,0,500.8,0.13,14.00,1.00,3.302,-0.015,3.317,OK
0.22,10,501.6,0.10,34.00,1.76,3.384,-0.182,3.566,OK
0.22,25,502.0,0.05,21.00,2.00,3.302,-0.082,3.384,OK
0.22,50,502.0,0.08,15.00,2.72,3.300,-0.000,3.300,OK
0.22,100,502.1,0.03,17.00,4.00,3.300,-0.000,3.300,OK
0.22,200,501.8,0.04,20.00,5.50,3.298,-0.000,3.298,OK
0.22,400,501.6,0.03,27.00,9.87,3.175,-0.000,3.175,OK
0.5,0,496.5,0.06,17.00,2.00,3.304,-0.014,3.318,OK
0.5,25,498.1,0.03,36.00,2.72,3.360,-0.181,3.540,OK
0.5,100,498.3,0.04,17.00,2.83,3.300,-0.000,3.300,OK
0.5,200,498.2,0.04,19.00,4.00,3.300,-0.000,3.300,OK
0.5,400,498.4,0.03,23.00,6.21,3.296,-0.000,3.296,OK
0.5,800,498.8,0.03,30.00,10.84,3.139,-0.000,3.139,OK
1.0,0,490.5,0.02,17.00,2.00,3.305,-0.012,3.317,OK
1.0,50,492.6,0.09,35.00,2.75,3.343,-0.170,3.513,OK
1.0,200,493.5,0.03,17.00,2.81,3.300,-0.000,3.300,OK
1.0,400,493.4,0.06,19.00,4.00,3.300,-0.000,3.300,OK
1.0,800,493.8,0.02,23.00,6.02,3.296,-0.000,3.296,OK
1.0,1600,493.8,0.00,31.00,11.00,3.132,-0.000,3.132,OK
2.0,0,481.8,0.07,18.00,2.00,3.303,-0.010,3.312,OK
2.0,100,483.6,0.02,28.00,2.00,3.316,-0.119,3.435,OK
2.0,400,484.9,0.02,18.00,2.83,3.300,-0.000,3.300,OK
2.0,800,485.0,0.00,19.00,4.00,3.300,-0.000,3.300,OK
2.0,1600,485.6,0.00,23.00,7.00,3.297,-0.000,3.297,OK
