bloque,prioridad,W_M5,L_M5,Cm_f,Vin,Iex_nA,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
P1_L,1,1.0,20,200,1.8,100.48,1408.7,0.85,41,1.434,0.931,0.503,OK
P1_L,1,1.0,25,200,1.8,100.49,1172.6,0.40,34,1.491,0.863,0.628,OK
P1_L,1,1.0,30,200,1.8,100.49,1003.8,0.24,29,1.549,0.794,0.756,OK
P1_L,1,1.0,35,200,1.8,100.49,877.6,0.15,25,1.609,0.725,0.884,OK
P1_L,1,1.0,41,200,1.8,100.50,761.6,0.09,21,1.681,0.642,1.039,OK
P1_L,1,1.0,45,200,1.8,100.50,699.4,0.10,19,1.730,0.586,1.145,OK
P1_L,1,1.0,50,200,1.8,100.50,634.7,0.06,17,1.792,0.516,1.276,OK
P1_L,1,1.0,60,200,1.8,ERR,,,,,,,ERR
P2_Wsat,2,2.5,41,400,1.8,100.51,283.7,0.03,7,1.657,0.412,1.245,OK
P2_Wsat,2,3.0,41,400,1.8,100.51,237.7,0.02,6,1.703,0.243,1.459,OK
P2_Wsat,2,3.5,41,400,1.8,100.52,206.5,0.04,5,1.744,0.087,1.658,OK
P2_Wsat,2,4.0,41,400,1.8,100.52,184.0,0.01,4,1.783,-0.058,1.841,ANOMALO
P2_Wsat,2,5.0,41,400,1.8,100.54,154.4,0.01,3,1.853,-0.303,2.156,ANOMALO
P3_Cmin,3,1.0,41,30,1.8,100.48,1251.5,0.05,36,3.658,-0.816,4.474,ANOMALO
P3_Cmin,3,1.0,41,40,1.8,100.30,1015.1,0.05,29,3.190,-0.764,3.954,ANOMALO
P3_Cmin,3,1.0,41,50,1.8,100.54,870.3,0.26,25,2.852,-0.670,3.522,ANOMALO
P3_Cmin,3,1.0,41,60,1.8,100.54,806.0,0.22,23,2.598,-0.559,3.157,ANOMALO
P3_Cmin,3,1.0,41,80,1.8,100.53,779.2,0.56,22,2.274,-0.272,2.546,ANOMALO
P3_Cmin,3,1.0,41,100,1.8,100.52,769.6,0.41,22,2.078,0.021,2.056,OK
P4_Iex,4,1.25,50,150,0.8,530.44,2457.7,0.11,72,2.128,0.009,2.119,OK
P4_Iex,4,1.25,50,150,1.0,417.56,1975.3,0.09,58,2.117,0.009,2.108,OK
P4_Iex,4,1.25,50,150,1.1,366.12,1747.5,0.09,51,2.114,0.004,2.109,OK
P4_Iex,4,1.25,50,150,2.3,12.50,63.7,0.00,1,1.139,0.317,0.822,NO_OSCILA
P4_Iex,4,1.25,50,150,2.4,5.19,0.0,0.00,0,0.998,0.657,0.341,NO_OSCILA
P4_Iex,4,1.25,50,150,2.5,1.38,0.0,0.00,0,0.265,0.174,0.091,NO_OSCILA
P5_esq,5,0.5,60,300,1.8,ERR,,,,,,,ERR
P5_esq,5,0.5,20,60,1.8,100.49,3056.6,0.95,90,1.595,0.754,0.841,OK
P5_esq,5,2.5,20,200,1.8,100.50,594.8,0.37,16,1.547,0.454,1.093,OK
P5_esq,5,3.0,60,800,1.8,ERR,,,,,,,ERR
P5_esq,5,0.22,41,100,1.8,100.48,3737.5,0.42,111,1.517,1.036,0.481,OK
P5_esq,5,0.22,25,60,1.8,100.48,0.0,0.00,0,1.506,1.019,0.487,NO_OSCILA
P6_Wmin,6,0.22,33,150,1.8,100.47,4868.1,0.42,145,1.408,1.155,0.253,OK
P6_Wmin,6,0.3,33,150,1.8,100.48,3439.3,0.21,102,1.444,1.099,0.344,OK
P6_Wmin,6,0.4,33,150,1.8,100.48,2502.5,0.29,73,1.485,1.027,0.458,OK
P6_Wmin,6,0.5,33,150,1.8,100.48,1961.3,0.26,57,1.524,0.954,0.569,OK
P6_Wmin,6,0.6,33,150,1.8,100.49,1607.0,0.41,47,1.559,0.880,0.680,OK
