W_M5,L_M5,Cm_f,Iex_nA,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
0.5,25,60,25,661.6,1.00,18,1.701,0.658,1.043,OK
0.5,25,60,60,1583.7,1.01,46,1.704,0.666,1.039,OK
0.5,25,60,100,2629.5,0.97,77,1.708,0.656,1.052,OK
0.5,25,60,200,4840.2,1.31,15,1.715,0.637,1.078,OK
0.5,25,60,400,0.0,0.00,0,1.728,0.651,1.077,NO_OSCILA
0.5,41,150,25,409.4,0.29,11,1.589,0.879,0.709,OK
0.5,41,150,60,968.8,0.28,28,1.591,0.880,0.711,OK
0.5,41,150,100,1589.6,0.30,46,1.593,0.881,0.712,OK
0.5,41,150,200,3061.4,0.27,90,1.599,0.883,0.715,OK
0.5,41,150,400,0.0,0.00,0,1.608,0.888,0.720,NO_OSCILA
0.5,50,200,25,342.6,0.06,9,1.572,0.922,0.650,OK
0.5,50,200,60,809.2,0.10,23,1.574,0.923,0.652,OK
0.5,50,200,100,1324.7,0.07,38,1.576,0.923,0.653,OK
0.5,50,200,200,2531.1,0.19,74,1.581,0.926,0.655,OK
0.5,50,200,400,4625.4,0.14,137,1.591,0.930,0.661,OK
1.0,25,100,25,301.9,0.77,8,1.694,0.467,1.228,OK
1.0,25,100,60,722.3,1.01,20,1.699,0.463,1.237,OK
1.0,25,100,100,1194.7,1.01,34,1.702,0.463,1.238,OK
1.0,25,100,200,2355.8,1.16,69,1.709,0.464,1.245,OK
1.0,25,100,400,4588.7,1.19,136,1.721,0.468,1.253,OK
1.0,41,200,25,192.6,0.09,4,1.677,0.639,1.037,OK
1.0,41,200,60,458.7,0.11,12,1.679,0.640,1.039,OK
1.0,41,200,100,758.2,0.07,21,1.682,0.641,1.041,OK
1.0,41,200,200,1484.9,0.15,43,1.688,0.643,1.045,OK
1.0,41,200,400,2856.1,0.13,84,1.699,0.647,1.051,OK
1.0,50,300,25,161.5,0.02,3,1.618,0.770,0.848,OK
1.0,50,300,60,384.2,0.02,10,1.621,0.771,0.850,OK
1.0,50,300,100,634.1,0.04,18,1.624,0.772,0.852,OK
1.0,50,300,200,1237.7,0.02,36,1.629,0.774,0.855,OK
1.0,50,300,400,2362.1,0.12,69,1.638,0.778,0.861,OK
2.0,25,200,25,144.5,0.47,3,1.603,0.423,1.180,OK
2.0,25,200,60,345.0,0.39,9,1.605,0.427,1.178,OK
2.0,25,200,100,571.9,0.42,16,1.608,0.423,1.184,OK
2.0,25,200,200,1130.9,0.42,32,1.613,0.426,1.188,OK
2.0,25,200,400,2221.8,0.12,65,1.623,0.432,1.191,OK
2.0,41,350,25,90.0,0.00,1,1.648,0.494,1.154,NO_OSCILA
2.0,41,350,60,214.8,0.04,5,1.651,0.494,1.157,OK
2.0,41,350,100,356.2,0.04,9,1.653,0.495,1.159,OK
2.0,41,350,200,702.7,0.05,19,1.659,0.496,1.163,OK
2.0,41,350,400,1371.7,0.02,40,1.669,0.499,1.170,OK
2.0,50,500,25,75.0,0.00,1,1.616,0.618,0.998,NO_OSCILA
2.0,50,500,60,178.8,0.01,4,1.618,0.618,1.000,OK
2.0,50,500,100,296.2,0.01,7,1.620,0.619,1.001,OK
2.0,50,500,200,583.8,0.02,16,1.626,0.621,1.005,OK
2.0,50,500,400,1135.9,0.04,32,1.635,0.623,1.011,OK
