tipo,W_M5,L_M5,Cm_f,Iex_nA,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
MAX,0.5,25,60,250,0.0,0.00,0,1.719,0.637,1.082,NO_OSCILA
MAX,0.5,25,60,300,0.0,0.00,0,1.721,0.650,1.071,NO_OSCILA
MAX,0.5,25,60,350,0.0,0.00,0,1.724,0.650,1.074,NO_OSCILA
MAX,0.5,25,60,400,0.0,0.00,0,1.728,0.651,1.077,NO_OSCILA
MAX,0.5,25,60,500,0.0,0.00,0,1.731,0.671,1.060,NO_OSCILA
MAX,0.5,25,60,700,0.0,0.00,0,1.747,0.661,1.085,NO_OSCILA
MAX,0.5,41,150,250,3756.8,0.38,111,1.601,0.884,0.717,OK
MAX,0.5,41,150,300,4420.9,0.20,131,1.604,0.886,0.718,OK
MAX,0.5,41,150,350,0.0,0.00,0,1.606,0.887,0.719,NO_OSCILA
MAX,0.5,41,150,400,0.0,0.00,0,1.608,0.888,0.720,NO_OSCILA
MAX,0.5,41,150,500,0.0,0.00,0,1.613,0.890,0.722,NO_OSCILA
MAX,0.5,41,150,700,0.0,0.00,0,1.621,0.894,0.727,NO_OSCILA
MAX,0.5,50,200,400,4625.4,0.14,137,1.591,0.930,0.661,OK
MAX,0.5,50,200,500,0.0,0.00,0,1.595,0.932,0.663,NO_OSCILA
MAX,0.5,50,200,600,0.0,0.00,0,1.599,0.935,0.664,NO_OSCILA
MAX,0.5,50,200,800,0.0,0.00,0,1.607,0.938,0.669,NO_OSCILA
MAX,0.5,50,200,1000,0.0,0.00,0,1.615,0.943,0.673,NO_OSCILA
MAX,1.0,25,100,400,4588.7,1.19,136,1.721,0.468,1.253,OK
MAX,1.0,25,100,600,0.0,0.00,0,1.732,0.475,1.258,NO_OSCILA
MAX,1.0,25,100,800,0.0,0.00,0,1.743,0.482,1.261,NO_OSCILA
MAX,1.0,25,100,1000,0.0,0.00,0,1.753,0.489,1.264,NO_OSCILA
MAX,1.0,25,100,1400,0.0,0.00,0,1.774,0.501,1.272,NO_OSCILA
MAX,1.0,41,200,400,2856.1,0.13,84,1.699,0.647,1.051,OK
MAX,1.0,41,200,600,4116.9,0.12,122,1.709,0.652,1.057,OK
MAX,1.0,41,200,800,0.0,0.00,0,1.719,0.656,1.063,NO_OSCILA
MAX,1.0,41,200,1200,0.0,0.00,0,1.738,0.664,1.074,NO_OSCILA
MAX,1.0,41,200,1600,0.0,0.00,0,1.757,0.674,1.083,NO_OSCILA
MIN,2.0,50,500,10,0.0,0.00,0,1.204,1.005,0.199,NO_OSCILA
MIN,2.0,50,500,15,45.1,0.00,1,1.615,0.618,0.997,NO_OSCILA
MIN,2.0,50,500,20,60.0,0.00,1,1.131,0.733,0.398,NO_OSCILA
MIN,2.0,50,500,25,75.0,0.00,1,1.616,0.618,0.998,NO_OSCILA
MIN,2.0,50,500,30,89.9,0.00,1,1.616,0.618,0.998,NO_OSCILA
MIN,2.0,50,500,40,119.6,0.01,2,1.617,0.618,0.999,NO_OSCILA
MIN,2.0,50,500,50,149.3,0.01,3,1.617,0.618,0.999,OK
MIN,2.0,41,350,10,36.1,0.00,1,1.647,0.494,1.153,NO_OSCILA
MIN,2.0,41,350,15,54.2,0.00,1,0.982,0.557,0.425,NO_OSCILA
MIN,2.0,41,350,20,72.1,0.00,1,1.647,0.493,1.154,NO_OSCILA
MIN,2.0,41,350,25,90.0,0.00,1,1.648,0.494,1.154,NO_OSCILA
MIN,2.0,41,350,30,108.0,0.01,2,1.649,0.494,1.154,NO_OSCILA
MIN,2.0,41,350,40,143.7,0.03,3,1.649,0.494,1.156,OK
MIN,2.0,41,350,50,179.3,0.01,4,1.650,0.494,1.156,OK
MIN,2.0,25,200,5,0.0,0.00,0,1.166,0.920,0.247,NO_OSCILA
MIN,2.0,25,200,8,46.4,0.00,1,1.599,0.429,1.170,NO_OSCILA
MIN,2.0,25,200,12,69.3,0.00,1,1.602,0.424,1.178,NO_OSCILA
MIN,2.0,25,200,16,92.8,0.00,1,1.601,0.425,1.175,NO_OSCILA
MIN,2.0,25,200,20,116.5,0.00,2,1.601,0.425,1.176,NO_OSCILA
MIN,2.0,25,200,25,144.5,0.47,3,1.603,0.423,1.180,OK
