W_M5,L_M5,area_WL,Iex_nA,freq_kHz,Vth_V,Vm_min,estado
0.5,25u,12.5,100.5,3037.5,1.413,1.075,OK
0.5,33u,16.5,100.5,2021.7,1.467,0.975,OK
0.5,41u,20.5,100.5,1889.4,1.520,0.897,OK
0.5,50u,25.0,100.5,1257.1,1.583,0.861,OK
1.0,25u,25.0,100.5,1608.8,1.491,0.788,OK
1.0,33u,33.0,100.5,972.2,1.585,0.723,OK
1.0,41u,41.0,100.5,957.5,1.683,0.535,OK
1.0,50u,50.0,100.5,694.9,1.793,0.498,OK
1.75,25u,43.8,100.5,906.7,1.577,0.451,OK
1.75,33u,57.8,100.5,623.1,1.722,0.267,OK
1.75,41u,71.8,100.5,390.3,1.875,-0.248,ANOMALO
1.75,50u,87.5,100.5,383.9,2.055,-0.105,ANOMALO
2.5,25u,62.5,100.5,713.8,1.638,0.142,OK
2.5,33u,82.5,100.5,479.0,1.832,-0.220,ANOMALO
2.5,41u,102.5,100.5,273.6,2.016,-0.665,ANOMALO
2.5,50u,125.0,100.5,258.9,2.260,-0.666,ANOMALO
