W_M5,L_M5,Cm_f,Iex_nA,ro_ohm,ro_label,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
1.0,41,200,100,1e12,inf,758.2,0.07,21,1.682,0.641,1.041,OK
1.0,41,200,100,1e9,1G,775.2,0.10,22,1.682,0.641,1.041,OK
1.0,41,200,100,1e8,100M,930.5,0.09,26,1.683,0.641,1.042,OK
1.0,41,200,100,3e7,30M,1325.9,0.10,38,1.686,0.643,1.043,OK
1.0,41,200,100,1e7,10M,2404.6,0.07,71,1.692,0.646,1.046,OK
1.0,41,200,100,3e6,3M,0.0,0.00,0,1.714,0.659,1.055,NO_OSCILA
1.0,41,200,100,1e6,1M,0.0,0.00,0,1.768,0.693,1.075,NO_OSCILA
0.5,25,60,100,1e12,inf,2629.5,0.97,77,1.708,0.656,1.052,OK
0.5,25,60,100,1e9,1G,2684.9,1.40,79,1.709,0.672,1.036,OK
0.5,25,60,100,1e8,100M,3233.1,1.23,95,1.710,0.634,1.075,OK
0.5,25,60,100,3e7,30M,4567.6,2.75,135,1.713,0.635,1.078,NOCONV
0.5,25,60,100,1e7,10M,0.0,0.00,0,1.721,0.642,1.079,NO_OSCILA
0.5,25,60,100,3e6,3M,0.0,0.00,0,1.747,0.684,1.063,NO_OSCILA
0.5,25,60,100,1e6,1M,0.0,0.00,0,1.812,0.725,1.088,NO_OSCILA
2.0,50,500,100,1e12,inf,296.2,0.01,7,1.620,0.619,1.001,OK
2.0,50,500,100,1e9,1G,303.0,0.02,8,1.621,0.619,1.002,OK
2.0,50,500,100,1e8,100M,364.5,0.01,9,1.621,0.619,1.002,OK
2.0,50,500,100,3e7,30M,521.7,0.01,14,1.624,0.620,1.003,OK
2.0,50,500,100,1e7,10M,956.8,0.05,27,1.630,0.623,1.007,OK
2.0,50,500,100,3e6,3M,2342.8,0.10,69,1.648,0.631,1.017,OK
2.0,50,500,100,1e6,1M,0.0,0.00,0,1.694,0.657,1.037,NO_OSCILA
1.0,41,200,25,1e12,inf,192.6,0.09,4,1.677,0.639,1.037,OK
1.0,41,200,25,1e9,1G,210.4,0.12,5,1.677,0.640,1.037,OK
1.0,41,200,25,1e8,100M,370.5,0.12,10,1.678,0.640,1.038,OK
1.0,41,200,25,3e7,30M,777.4,0.08,22,1.681,0.641,1.040,OK
1.0,41,200,25,1e7,10M,1889.9,0.15,55,1.688,0.644,1.044,OK
1.0,41,200,25,3e6,3M,0.0,0.00,0,1.710,0.656,1.054,NO_OSCILA
1.0,41,200,25,1e6,1M,0.0,0.00,0,1.765,0.689,1.076,NO_OSCILA
