f_obj,W_M5,L_M5,Cm_f,mult_cmmin,f_pred,Vth_pred,Iex_nA,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
300,1.97,50,293,1.05,300,1.842,100.51,305.7,0.04,8,1.857,0.185,1.672,OK
300,1.97,50,251,0.90,300,1.900,100.52,307.1,0.04,8,1.954,0.009,1.945,OK
300,1.97,50,223,0.80,300,1.955,100.53,308.6,0.06,8,2.038,-0.142,2.180,ANOMALO
300,1.97,50,195,0.70,300,2.036,100.53,310.5,0.06,8,2.148,-0.325,2.473,ANOMALO
300,1.97,50,419,1.50,300,1.665,100.50,303.3,0.02,8,1.682,0.507,1.176,OK
1000,0.65,50,93,1.05,1000,2.043,100.51,995.3,0.31,28,2.054,0.244,1.810,OK
1000,0.65,50,79,0.90,1000,2.126,100.52,995.1,0.32,28,2.189,0.065,2.124,OK
1000,0.65,50,70,0.80,1000,2.204,100.52,993.8,0.47,28,2.303,-0.088,2.392,ANOMALO
1000,0.65,50,62,0.70,1000,2.298,100.53,999.8,0.94,28,2.432,-0.259,2.691,ANOMALO
1000,0.65,50,132,1.50,1000,1.789,100.50,994.6,0.16,28,1.828,0.551,1.278,OK
3000,0.24,48,32,1.05,3000,2.521,100.50,2797.9,1.48,82,2.170,0.258,1.912,OK
3000,0.24,48,28,0.90,3000,2.652,100.51,2787.3,1.23,82,2.292,0.101,2.191,OK
3000,0.24,48,25,0.80,3000,2.784,100.51,2770.0,1.31,82,2.406,-0.046,2.452,OK
3000,0.24,48,22,0.70,3000,2.976,100.52,2772.2,0.76,81,2.557,-0.208,2.765,ANOMALO
3000,0.24,48,46,1.50,3000,2.096,100.49,2792.0,0.32,82,1.908,0.577,1.331,OK
200,2.86,50,432,1.05,200,1.809,100.52,206.0,0.01,5,1.781,0.173,1.608,OK
200,2.86,50,329,0.80,200,1.930,100.53,208.7,0.01,5,1.940,-0.151,2.091,ANOMALO
