W_M5,L_M5,Cm_f,Iex_nA,freq_kHz,jitter_pct,n_cyc,Vth_V,Vm_min,swing_V,estado
0.75,33,115,100.5,1267.0,0.47,36,1.708,0.615,1.093,OK
0.75,33,192,100.5,1263.6,0.23,36,1.539,0.880,0.659,OK
0.75,33,269,100.5,1270.1,0.09,36,1.466,0.997,0.469,OK
0.75,50,154,100.5,857.4,0.14,24,1.809,0.551,1.258,OK
0.75,50,257,100.5,866.5,0.07,24,1.601,0.848,0.753,OK
0.75,50,360,100.5,878.8,0.04,25,1.511,0.976,0.535,OK
1.4,33,220,100.5,641.0,0.18,18,1.630,0.585,1.045,OK
1.4,33,367,100.5,635.7,0.05,18,1.489,0.860,0.629,OK
1.4,33,514,100.5,635.9,0.03,18,1.428,0.981,0.448,OK
1.4,50,295,100.5,441.4,0.01,12,1.729,0.530,1.199,OK
1.4,50,492,100.5,441.9,0.02,12,1.549,0.831,0.719,OK
1.4,50,689,100.5,444.4,0.02,12,1.473,0.961,0.512,OK
2.1,33,336,100.5,415.0,0.07,11,1.577,0.574,1.002,OK
2.1,33,560,100.5,411.1,0.02,11,1.456,0.852,0.603,OK
2.1,33,784,100.5,411.6,0.03,11,1.404,0.975,0.429,OK
2.1,50,448,100.5,283.0,0.00,7,1.673,0.504,1.169,OK
2.1,50,747,100.5,281.4,0.01,7,1.514,0.812,0.703,OK
2.1,50,1046,100.5,281.7,0.01,7,1.447,0.946,0.500,OK
